101000,101000,1,1,2,0,Gecko Sword,1,1,0,1,3,40,3,No Effect,,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,we_r_h_sword_001_r_a,,,,,,過去の栄光と、現在の平和。
101001,101001,1.3,1,2,0,Young General's Sword,1,1,1000,3,4,40,3,,,Deploy Clone,,6,Send out 1<br>【Warrior Clone B】<br>to a random lane,0,,0,,0,0,0,0,0,0,0,0,0,0,907,201001,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,we_r_h_sword_004_r_a,,,,,,若き心と新品の武器。<br>そのふたつが若者を<br>新たな戦士にする。
101002,101002,1,0,2,0,Double-Headed Steel Spear,1,1,0,1,4,40,3,,,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,101,1,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,we_r_h_twinblade_001_r_a,,,,,,鋼を手に入れて、最初に作ったのは<br>刃だった。
101003,101003,1.3,1,2,0,Rusty Iron Sword,1,1,1000,3,4,40,3,,,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,101,11,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,we_r_h_sword_002_r_a,,,,,,その錆こそが<br>剣が多くを守った証。
101004,101004,1.1,0,2,0,Fierce Tauro Spear,1,1,1000,3,5,40,3,,,Ability,,6,During CLIMAX、<br>Grant 【Uplift Ⅲ】 to self,0,,0,,0,0,0,0,0,0,0,0,0,0,101,1,3,0,0,1,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,we_r_h_spear_001_r_a,,,,,,槍一つで、その兵士は<br>将軍まで上り詰めた。<br>―第一次北方戦記―
101005,101005,1.2,0,2,0,Rough Double-Horned Sword,1,1,1000,2,5,50,3,,,Status Effect,,6,Inflict 【Flame Ⅰ】 to an enemy in the same lane,0,,0,,0,0,0,0,0,0,0,0,0,0,217,1,1,0,0,7,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,we_r_h_twinblade_002_r_a,,,,,,数多の刃の中でも<br>荒くれ者にこそ相応しい。
101006,101006,1,0,2,0,Chief's Ceremonial Sword,1,1,1000,2,5,40,3,,,Attack Enhancement,,6,Attack Power +10<br>to 1 random deployed Unit<br>excluding self,0,,0,,0,0,0,0,0,0,0,0,0,0,100,20,0,0,0,4,2,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,we_r_h_sword_005_r_a,,,,,,荒々しくも美しい刀身は、矜持の証。
101007,101007,1,0,2,0,Battle-Hardened Roaring Axe,1,1,1000,4,5,50,3,,,,,9,Attack Power to self +30,0,,0,,0,0,0,0,0,0,0,0,0,0,100,30,0,0,0,1,2,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,we_r_h_ax_003_r_a,,,,,,刃が欠けても戦い続ける戦士の姿は<br>多くの仲間を奮い立たせた。<br>―第二次北方戦記―
101008,101008,1,1,2,0,Colossus Sword,1,1,0,1,4,50,3,No Effect,,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,we_r_h_sword_003_r_a,,,,,,誰だ！<br>あの剣を持っていったヤツは！
101009,101009,1,0,2,0,Twin-Horned Rampage Spear,1,1,1000,3,6,60,3,,,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,101,1,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,we_r_h_twinblade_003_r_a,,,,,,我が身を傷つけることを怖れるな。
